"Date.Made.Public","Company","City","State","Type.of.breach","Type.of.organization","Total.Records","Description.of.incident","Information.Source","Source.URL","Year.of.Breach","Latitude","Longitude","X","X.1","X.2","total_records","date","date_next","time","log_time","log_size","flag_train"
"6/12/2006","Barnard College","New York","New York","HACK","EDU","2,250","A hacking incident that was discovered on June 6 may have left the names and Social Security numbers of students and employees exposed.  The computer that was compromised may have allowed the hacker to access information for all students and employees.","Dataloss DB","",2006,40.714353,-74.005973,NA,NA,"",2250,2006-06-12,2006-06-13,1,0,7.71868549519847,1
"6/13/2006","Oregon Department of Revenue","Salem","Oregon","HACK","GOV","2,200","Electronic files containing 
            personal data of Oregon taxpayers may have been compromised by an 
            ex-employee who downloaded a contaminated file from a porn site. The 
            trojan attached to the file may have sent taxpayer information back 
            to the source when the computer was turned on.","Dataloss DB","",2006,44.942898,-123.035096,NA,NA,"",2200,2006-06-13,2006-06-17,4,1.38629436111989,7.69621263934641,1
"6/17/2006","Western Illinios University","Macomb","Illinois","HACK","EDU","180,000","On June 5th, a hacker compromised 
            a University server that contained names, addresses, credit card numbers 
            and Social Security numbers of people connected to the University. 
             UPDATE (7/5/06):
            Number affected reduced from 240,000.","Dataloss DB","",2006,40.459208,-90.671797,NA,NA,"",180000,2006-06-17,2006-06-22,5,1.6094379124341,12.1007121298723,1
"6/22/2006","U.S. Department of Agriculture (USDA)","Washington","District Of Columbia","HACK","GOV","26,000","During the first week in 
            June, a hacker broke into the Department's computer system and may 
            have obtained names, Social Security numbers and photos of current 
            and former employees and contractors.","Dataloss DB","",2006,38.895112,-77.036366,NA,NA,"",26000,2006-06-22,2006-06-22,0.660797792486846,-0.414307397448554,10.1658518170036,1
"6/22/2006","Ohio University","Athens","Ohio","HACK","EDU","2,480","A breach was discovered 
            on a computer that housed IRS 1099 forms for vendors and independent 
            contractors for calendar years 2004 and 2005.","Media","",2006,39.32924,-82.101255,NA,NA,"",2480,2006-06-22,2006-06-29,7,1.94591014905531,7.81601383915903,1
"6/29/2006","Nebraska Treasurer's Office","Lincoln","Nebraska","HACK","GOV","309,000","A hacker broke into a child-support              computer system and may have obtained names, Social Security numbers              and other information such as tax identification numbers for 9,000              businesses.","Dataloss DB","",2006,40.806862,-96.681679,NA,NA,"",309000,2006-06-29,2006-07-07,8,2.07944154167984,12.6410965558799,1
"7/7/2006","University of Tennessee","Knoxville","Tennessee","HACK","EDU","36,000","Hacker broke into a UT computer 
            containing names, addresses and SSNs of about 36,000 past and current 
            employees. The intruder used the computer from Aug. '05 to May 
            '06 to store and transmit movies.","Dataloss DB","",2006,35.960638,-83.920739,NA,NA,"",36000,2006-07-07,2006-07-14,7,1.94591014905531,10.4912742174382,1
"7/14/2006","Northwestern University","Evanston","Illinois","HACK","EDU","17,000","Files containing names and 
            some personal information including SSNs were on 9 desktop computers 
            that had been accessed by unauthorized persons outside the University. 
            The computers were in the Office of Admissions and Financial Aid.","Dataloss DB","",2006,42.041141,-87.690059,NA,NA,"",17000,2006-07-14,2006-07-27,13,2.56494935746154,9.74096862303835,1
"7/27/2006","Los Angeles County, Community Development Commission (CDC)","Monterey Park","California","HACK","GOV","4,800","Earlier in July, a computer 
            hacker located in Germany gained access to the CDC's computer system, 
            containing personal information on 4,800 public housing residents.","Dataloss DB","",2006,34.062511,-118.122848,NA,NA,"",4800,2006-07-27,2006-07-28,1,0,8.47637119689598,1
"7/28/2006","Merlin Information Services","Kalispell","Montana","HACK","BSO","3,957","The login information for a qualified customer was compromised.  This resulted in the possible exposure of customer names, addresses and Social Security numbers.","Dataloss DB","",2006,48.200531,-114.315102,NA,NA,"",3957,2006-07-28,2006-08-01,4,1.38629436111989,8.28324144138542,1
"8/1/2006","Wichita State University","Wichita","Kansas","HACK","EDU","2,000","WSU learned on June 29 that 
            someone gained unauthorized access into 3 computers in its College 
            of Fine Arts box office, containing credit card information for about 
            2,000 patrons.","Dataloss DB","",2006,37.692236,-97.337545,NA,NA,"",2000,2006-08-01,2006-08-01,0.62911404389888,-0.463442728861206,7.60090245954208,1
"8/1/2006","Wichita State University","Wichita","Kansas","HACK","EDU","40","An intrusion into a WSU Psychology Department's server was discovered July 16. It contained              information on about 40 applicants to the doctoral program.","Dataloss DB","",2006,37.692236,-97.337545,NA,NA,"",40,2006-08-01,2006-08-18,17,2.83321334405622,3.68887945411394,1
"8/18/2006","Experian, LA Walker Company","Roseville","California","HACK","BSF","30","Thirty New York residents and an unknown number of customers nationwide had their information accessed.  The unauthorized access by an Experian client resulted in the exposure of names, dates of birth, account numbers, Social Security numbers and addresses.","Dataloss DB","",2006,38.752124,-121.288006,NA,NA,"",30,2006-08-18,2006-08-26,8,2.07944154167984,3.40119738166216,1
"8/26/2006","PortTix","Portland","Maine","HACK","BSO","2,000","Credit card information 
            for about 2,000 people who ordered tickets online through PortTix 
            was accessed by someone who hacked into the Web site. PortTix is Merrill 
            Auditorium's ticketing agency. The Web site was secured as of Aug. 
            24.","Dataloss DB","",2006,43.661471,-70.255326,NA,NA,"",2000,2006-08-26,2006-08-26,0.0617862704675645,-2.78407409991886,7.60090245954208,1
"8/26/2006","University of South Carolina","Columbia","South Carolina","HACK","EDU","6,000","TheState.com reported that the University of South Carolina warned 6,000 current and former students that their information, including Social Security numbers and birth dates, may have been breached when a server was accessed from outside the system.","Media","",2006,34.00071,-81.034814,NA,NA,"",6000,2006-08-26,2006-08-28,2,0.693147180559945,8.69951474821019,1
"8/28/2006","Copart, Inc.","Fairfield","California","HACK","BSR","43,764","Hackers may have acquired the full names of customers, business and home addresses, telephone numbers, email addresses, driver's license numbers and possibly driver's license photographs.  The website breach was discovered on July 17 and customers were notified on August 28. No Social Security numbers or financial information was accessed.","Dataloss DB","",2006,38.249358,-122.039966,NA,NA,"",43764,2006-08-28,2006-08-29,1,0,10.6865668405967,1
"8/29/2006","AT&T via vendor that operates an order processing computer","San Francisco","California","HACK","BSO","19,000","Computer hackers accessed 
              credit card account data and other personal information of customers 
              who purchased DSL equipment from AT&T's online store. The company 
              is notifying fewer than 19,000 customers.
              UPDATE (9/1/06).
              The breach was followed by a bogus phishing e-mail to those customers 
              that attempted to trick them into revealing more info such as SSN 
              and birthdate -- essential for crime of identity theft.","Dataloss DB","",2006,37.77493,-122.419416,NA,NA,"",19000,2006-08-29,2006-09-01,3,1.09861228866811,9.85219425814858,1
"9/1/2006","LandAmerica Credit Services, Inc., Diversified Capital","San Jose","California","HACK","BSF","124","A hacker may have accessed personal information.  A customer named Diversified Capital noticed unusual activity on its account.  An investigation revealed that the unauthorized access was most likely the result of a stolen password or unauthorized use of the password.  The breach was first noticed on July 17 and notification was sent on August 10.","Dataloss DB","",2006,37.339386,-121.894956,NA,NA,"",124,2006-09-01,2006-09-07,6,1.79175946922805,4.82028156560504,1
"9/7/2006","Mystic Stamp Company","Camden","New York","HACK","BSR","13","The website fell victim to an SQL injection attack.  Hackers accessed the website database and obtained customer names, addresses, credit card numbers and expiration dates.  The breach was discovered on August 29 and the website's charge card function was disabled.","Dataloss DB","",2006,43.334514,-75.747964,NA,NA,"",13,2006-09-07,2006-09-15,8,2.07944154167984,2.56494935746154,1
